CohortMonth,CohortIndex,RetentionRate
2010-12,0,1.0
2011-01,0,1.0
2011-02,0,1.0
2011-03,0,1.0
2011-04,0,1.0
2011-05,0,1.0
2011-06,0,1.0
2011-07,0,1.0
2011-08,0,1.0
2011-09,0,1.0
2011-10,0,1.0
2011-11,0,1.0
2011-12,0,1.0
2010-12,1,0.3661016949152542
2011-01,1,0.2206235011990407
2011-02,1,0.1868421052631579
2011-03,1,0.1504424778761062
2011-04,1,0.2133333333333333
2011-05,1,0.1901408450704225
2011-06,1,0.1735537190082644
2011-07,1,0.1808510638297872
2011-08,1,0.2071005917159763
2011-09,1,0.2341137123745819
2011-10,1,0.2402234636871508
2011-11,1,0.1114551083591331
2011-12,1,0.0
2010-12,2,0.3231638418079096
2011-01,2,0.2661870503597122
2011-02,2,0.1868421052631579
2011-03,2,0.252212389380531
2011-04,2,0.2033333333333333
2011-05,2,0.1725352112676056
2011-06,2,0.1570247933884297
2011-07,2,0.2074468085106383
2011-08,2,0.2485207100591716
2011-09,2,0.3010033444816054
2011-10,2,0.1145251396648044
2011-11,2,0.0
2011-12,2,0.0
2010-12,3,0.384180790960452
2011-01,3,0.2302158273381295
2011-02,3,0.2842105263157894
2011-03,3,0.1991150442477876
2011-04,3,0.21
2011-05,3,0.1725352112676056
2011-06,3,0.2644628099173554
2011-07,3,0.2234042553191489
2011-08,3,0.2426035502958579
2011-09,3,0.1137123745819397
2011-10,3,0.0
2011-11,3,0.0
2011-12,3,0.0
2010-12,4,0.3627118644067796
2011-01,4,0.3213429256594724
2011-02,4,0.2710526315789474
2011-03,4,0.2234513274336283
2011-04,4,0.1966666666666666
2011-05,4,0.2077464788732394
2011-06,4,0.2314049586776859
2011-07,4,0.2712765957446808
2011-08,4,0.1242603550295858
2011-09,4,0.0
2011-10,4,0.0
2011-11,4,0.0
2011-12,4,0.0
2010-12,5,0.3977401129943503
2011-01,5,0.2877697841726618
2011-02,5,0.2473684210526315
2011-03,5,0.168141592920354
2011-04,5,0.2266666666666666
2011-05,5,0.2323943661971831
2011-06,5,0.3347107438016529
2011-07,5,0.1117021276595744
2011-08,5,0.0
2011-09,5,0.0
2011-10,5,0.0
2011-11,5,0.0
2011-12,5,0.0
2010-12,6,0.3627118644067796
2011-01,6,0.2470023980815347
2011-02,6,0.2526315789473684
2011-03,6,0.2676991150442478
2011-04,6,0.2166666666666666
2011-05,6,0.2640845070422535
2011-06,6,0.0950413223140495
2011-07,6,0.0
2011-08,6,0.0
2011-09,6,0.0
2011-10,6,0.0
2011-11,6,0.0
2011-12,6,0.0
2010-12,7,0.3491525423728813
2011-01,7,0.2422062350119904
2011-02,7,0.2789473684210526
2011-03,7,0.2300884955752212
2011-04,7,0.26
2011-05,7,0.0950704225352112
2011-06,7,0.0
2011-07,7,0.0
2011-08,7,0.0
2011-09,7,0.0
2011-10,7,0.0
2011-11,7,0.0
2011-12,7,0.0
2010-12,8,0.3536723163841808
2011-01,8,0.2997601918465228
2011-02,8,0.2473684210526315
2011-03,8,0.2787610619469026
2011-04,8,0.0733333333333333
2011-05,8,0.0
2011-06,8,0.0
2011-07,8,0.0
2011-08,8,0.0
2011-09,8,0.0
2011-10,8,0.0
2011-11,8,0.0
2011-12,8,0.0
2010-12,9,0.3954802259887006
2011-01,9,0.3261390887290168
2011-02,9,0.3052631578947368
2011-03,9,0.0862831858407079
2011-04,9,0.0
2011-05,9,0.0
2011-06,9,0.0
2011-07,9,0.0
2011-08,9,0.0
2011-09,9,0.0
2011-10,9,0.0
2011-11,9,0.0
2011-12,9,0.0
2010-12,10,0.3740112994350282
2011-01,10,0.3645083932853717
2011-02,10,0.0684210526315789
2011-03,10,0.0
2011-04,10,0.0
2011-05,10,0.0
2011-06,10,0.0
2011-07,10,0.0
2011-08,10,0.0
2011-09,10,0.0
2011-10,10,0.0
2011-11,10,0.0
2011-12,10,0.0
2010-12,11,0.5028248587570622
2011-01,11,0.1175059952038369
2011-02,11,0.0
2011-03,11,0.0
2011-04,11,0.0
2011-05,11,0.0
2011-06,11,0.0
2011-07,11,0.0
2011-08,11,0.0
2011-09,11,0.0
2011-10,11,0.0
2011-11,11,0.0
2011-12,11,0.0
2010-12,12,0.2655367231638418
2011-01,12,0.0
2011-02,12,0.0
2011-03,12,0.0
2011-04,12,0.0
2011-05,12,0.0
2011-06,12,0.0
2011-07,12,0.0
2011-08,12,0.0
2011-09,12,0.0
2011-10,12,0.0
2011-11,12,0.0
2011-12,12,0.0
